t_half_months,t_frontier_months,sovereign_floor_pct_of_c0,sovereign_floor_closed_form_pct,sovereign_floor_h100e,cap_60mo_pct,cap_120mo_pct,frontier_share_t0,c0,afr,kappa,useful_life_years,frontier_doubling_months,domestic_per_month,leakage_per_month,utilisation_ceiling,frontier_scale,dom_growth_yr
inf,38.0,59.146657851950046,59.146657844232244,2117411.8644209597,68.26638095176037,61.197565225574145,8.233401526653777,3579934.9300869238,0.14743477196901747,0.13478661453706922,5.682642773267716,6.32138031398714,42953.115440348476,9211.565098875057,1.0,434806.3092146901,0.0
inf,32.0,155.7323469733321,155.73234701701625,1748403.7381533703,141.8483813724763,152.30297737951653,4.539670325467834,1122697.8672919956,0.13025909700924326,0.2589092154016315,4.758781797392951,5.379127774217287,27597.0648142154,12875.328805596222,1.0,247308.23755936424,0.0
inf,33.0,89.57490533753146,89.57490533744534,1738217.5319410914,91.42895971419594,89.9138099739746,8.777090634401956,1940518.413490063,0.16649475650712872,0.10889953695358487,5.248215836679556,5.16136016472404,32977.78253253652,15700.92780354661,1.0,221089.0253182721,0.0
inf,51.0,100.77836341492288,100.77836341510216,1076454.3031850718,100.53961230216896,100.72511871283155,18.485893482358136,1068140.2899480648,0.09031491672511827,0.13090468603020883,4.140670191290523,6.638553865954032,23155.885025011296,3508.958181121359,1.0,57781.37210232418,0.0
28.0,40.0,27.83287579525634,27.832875795256207,561518.3728845587,33.374886269391354,28.261281591133137,16.64887876592945,2017464.443901483,0.16187545208595414,0.11884230661416717,2.585211793137291,6.521784469449867,14832.658893969923,8730.516875351314,1.0,121177.1959100367,0.0
inf,42.0,69.33977399224995,69.33977399170574,1142197.1038089986,75.19656789999388,70.46460352732392,30.703790499590095,1647246.6494290293,0.14160546101721816,0.06244412117183845,5.162653878904289,5.206850455640452,18220.41297978974,12812.2755984133,1.0,53649.61858539976,0.0
81.0,52.0,43.87954503780051,43.879545036794596,1523557.3407829958,54.60072018146296,45.94006805375746,37.32003250329076,3472135.682971441,0.14560580902859327,0.13585582650719,4.685348154018609,6.713096437653606,35669.22545739501,5777.18782653836,1.0,93036.78078697491,0.0
inf,43.0,81.09710441665193,81.0971044111812,1649060.8203145433,85.37382044213665,82.08768781421524,9.88143156756536,2033439.8276936954,0.16124115474829478,0.2164035356779608,5.641977747557938,6.624875633720617,27069.339097478645,12818.870683736135,1.0,205783.93057623587,0.0
inf,48.0,269.6896780847338,269.689685025904,2392034.5407406995,214.94794359886552,252.08274455869835,6.404631608721059,886958.1356351154,0.08809868538660966,0.3822050706554345,4.5444934841663205,6.752973294228452,31314.61308926732,13719.750672692937,1.0,138486.9872027241,0.0
97.0,52.0,45.253903313747145,45.25390330573629,1886859.1008867365,57.288038457001676,47.914223564439546,51.66184263230594,4169494.7014958374,0.07156432670837398,0.13657727549451065,3.765186514262765,6.1740758592571305,31217.778072794572,15797.660348023866,1.0,80707.43297275479,0.0
inf,32.0,87.58968511991348,87.5896851199086,1107323.210939462,89.27359377639154,87.84341706942415,9.907196581620196,1264216.4535966718,0.13375878111225994,0.40833818693233964,2.683761638495034,4.827868897777155,19268.33674953094,15115.094670517197,1.0,127605.8714674182,0.0
inf,39.0,93.63764315028664,93.63764314971911,1963068.925722484,94.88402755002615,93.90579769790486,14.095208481295698,2096452.7295628272,0.06440405324392331,0.29957907058961564,3.2961234236029275,5.392613265404677,42670.11723846028,6960.632620940567,1.0,148735.1345207,0.0
18.0,29.0,13.926698316464368,13.926698316464353,633583.6850133912,18.397997912951013,14.160245025484247,13.501214686532473,4549417.748673125,0.14315935855476197,0.09886683404317527,2.0770592692416527,5.072561032536357,14450.306949191974,16106.140189198733,1.0,336963.58841039625,0.0
26.0,41.0,18.142986312225386,18.142986312224473,768942.6829748056,27.564370872551486,19.248575177364245,46.0264835794804,4238236.58212576,0.1663938651989595,0.47898869418006357,2.375523706165079,5.395227608211284,21303.078010215973,5671.418917877821,1.0,92082.56317924008,0.0
103.0,54.0,46.05626483093136,46.056264825121985,1613833.7435467162,57.64198240940443,48.56614265951551,43.09601080501959,3504048.253741294,0.14461818656947126,0.21702633514717268,4.693122875958671,6.716953029895299,31346.596647217913,9460.841619636003,1.0,81307.94911841728,0.0
inf,30.0,83.67949590449146,83.6794959044911,1029086.5843298654,85.33465918591192,83.84928985903967,3.9804693386722287,1229795.3915788701,0.14902214698262894,0.05025959786388355,3.23792228836134,5.641596360765634,35631.200911994856,2762.9558591753157,1.0,308957.38339969097,0.0
37.0,48.0,29.09321802288619,29.093218022880407,1300989.4080748672,38.57217770767941,30.3659409361534,76.9633310235884,4471796.165867397,0.13388701182975524,0.0980529562164802,3.43358518162619,5.6501189991601715,37477.212697970026,5470.416713195478,1.0,58102.944693192156,0.0
38.0,36.0,28.836753048603107,28.83675304857889,1311804.8384102858,39.25900074958217,30.374945204263792,11.757781976469579,4549072.623395897,0.1433690392597498,0.1993090143858302,3.340237434905904,6.078356902543955,36223.09002555048,5170.696035844964,1.0,386898.87535759644,0.0
inf,37.0,72.00047312804236,72.00047312804226,1373426.2203697446,74.9264962549438,72.31277566750562,10.48213270599866,1907523.8824157533,0.15168617202621182,0.18138358819580377,2.797680653250561,5.740747406840456,43836.32170631769,6729.457710747569,1.0,181978.60453761718,0.0
inf,32.0,154.05610538559964,154.0561058759156,2096949.6827133917,138.175479249099,149.4385611484463,3.378037260263106,1361159.7394759296,0.13837831889316915,0.3759011908711281,5.2795347896255285,5.873360365586777,35468.22915671126,7503.73535117439,1.0,402943.96852505783,0.0
55.0,32.0,40.46713078207964,40.46713078207499,1368408.699511354,48.36026198273465,41.52360382429278,12.186938410524036,3381531.3145881267,0.06309611151958829,0.34156128578476774,2.528154323213375,5.018225509686728,42145.61740224228,2960.0382318086968,1.0,277471.765317859,0.0
