month,operational,effective,frac_of_t0,frontier_relative,pool
75,4640512.468453047,4640512.468453047,0.4419535684240997,0.0014083023410795107,28931.88553975933
76,4611473.531908341,4611473.531908341,0.43918795541984196,0.0012248398111135888,28748.50998700339
77,4583086.447104337,4583086.447104337,0.43648442353374634,0.0010653866214283979,28569.250758310554
78,4555336.581594313,4555336.581594313,0.4338415791994583,0.0009267856000964991,28394.015452466283
79,4528209.6313935,4528209.6313935,0.4312580601327142,0.0008062968187915535,28222.71374243298
80,4501691.613605935,4501691.613605935,0.4287325346291367,0.0007015421654404494,28055.257328789852
81,4475768.859216813,4475768.859216813,0.4262637008777917,0.0006104573188822743,27891.55989421805
82,4450428.00604664,4450428.00604664,0.42385028629015614,0.0005312501317538417,27731.537059007336
83,4425655.991863541,4425655.991863541,0.4214910468441468,0.00046236456195793585,27575.106337561658
84,4401440.04765019,4401440.04765019,0.4191847664428752,0.00040244940900596184,27422.18709588096
85,4377767.69102187,4377767.69102187,0.4169302562877971,0.00035033121174364687,27272.70050999752
86,4354626.719792285,4354626.719792285,0.4147263542659319,0.00030499075060918596,27126.569525345185
87,4332005.205683808,4332005.205683808,0.41257192435083884,0.0002655426724863535,26983.71881704076
88,4309891.488178907,4309891.488178907,0.4104658560170388,0.00023121782099650624,26844.074751056916
89,4288274.168509609,4288274.168509609,0.40840706366758184,0.00020134791110042503,26707.565346266656
90,4267142.103781861,4267142.103781861,0.406394486074463,0.00017535223534297732,26574.12023733993
91,4246484.401231812,4246484.401231812,0.4044270858316012,0.0001527261309974116,26443.67063847285
92,4226290.412611005,4226290.412611005,0.4025038488200957,0.00013303097363848265,26316.14930793147
93,4206549.728697617,4206549.728697617,0.4006237836854873,0.00011588549406048723,26191.490513391076
94,4187252.173930909,4187252.173930909,0.3987859213267532,0.00010095824261911289,26069.62999805385
95,4168387.8011661186,4168387.8011661186,0.3969893143967732,8.796104858633215e-05,25950.50494752687
96,4149946.8865470844,4149946.8865470844,0.39523303681400807,7.664334245912519e-05,25834.053957443804
97,4131919.924493979,4131919.924493979,0.3935161832851409,6.678722678229559e-05,25720.217001813235
98,4114297.6228035493,4114297.6228035493,0.39183786883843325,5.820319630175143e-05,25608.93540207766
99,4097070.89785934,4097070.89785934,0.3901972283675562,5.072642147607098e-05,25500.151796866925
100,4080230.8699494447,4080230.8699494447,0.3885934161856614,4.4213520816467635e-05,25393.810112430634
101,4063768.858689354,4063768.858689354,0.38702560558946225,3.853975743657227e-05,25289.855533734328
102,4047676.378547554,4047676.378547554,0.38549298843310037,3.359660377971343e-05,25188.23447620443
103,4031945.134471561,4031945.134471561,0.3839947747115772,2.9289625930696062e-05,25088.89455810747
104,4016567.017612143,4016567.017612143,0.38253019215353745,2.553664536547434e-05,24991.78457354933
105,4001534.101143521,4001534.101143521,0.38109848582319245,2.2266141578820387e-05,24896.854466080564
106,3986838.636177394,3986838.636177394,0.37969891773118036,1.9415863872372345e-05,24804.055302894256
107,3972473.0477686897,3972473.0477686897,0.3783307664541609,1.6931624783019064e-05,24713.339249603017
108,3958429.9310109704,3958429.9310109704,0.37699332676294955,1.4766251270739913e-05,24624.659545582224
109,3944702.0472194892,3944702.0472194892,0.375685909258999,1.2878672940452156e-05,24537.970479866726
110,3931282.320199929,3931282.320199929,0.37440784001904087,1.1233129308758214e-05,24453.227367588584
111,3918163.8326008953,3918163.8326008953,0.3731584602477043,9.798480499692716e-06,24370.386526943777
112,3905339.82234829,3905339.82234829,0.3719371259379324,8.547607812085074e-06,24289.405256675873
113,3892803.6791597237,3892803.6791597237,0.3707432075390213,7.456892386928784e-06,24210.241814065226
114,3880548.941137168,3880548.941137168,0.36957608963211125,6.505761752507302e-06,24132.855393412196
115,3868569.291436099,3868569.291436099,0.3684351706129618,5.676295369430538e-06,24057.206105003363
116,3856858.555009406,3856858.555009406,0.3673198623818482,4.952881464440723e-06,23983.254954549975
117,3845410.6954243938,3845410.6954243938,0.36622959004041844,4.3219184544592955e-06,23910.963823087834
118,3834219.811751234,3834219.811751234,0.3651637915953556,3.7715551413244727e-06,23840.295447328488
119,3823280.1355212633,3823280.1355212633,0.36412191766869173,3.291464620739965e-06,23771.213400451405
120,3812586.0277535617,3812586.0277535617,0.3631034312146249,2.872647511479738e-06,23703.6820733274
